Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
INTERNATIONAL ACAD OF COLUMBUS,Ohio,3900190,FRANKLIN COUNTY,OH ,INTERNATIONAL ACAD OF COLUMBUS
INTERNATIONAL ACADEMY OF FLINT,Michigan,2600195,GENESEE COUNTY,MI ,INTERNATIONAL ACADEMY OF FLINT
INTERNATIONAL ACADEMY OF SAGINAW,Michigan,2600946,SAGINAW COUNTY,MI ,INTERNATIONAL ACADEMY OF SAGINAW
INTERNATIONAL CHARTER,Rhode Island,4400034,PROVIDENCE COUNTY,RI ,INTERNATIONAL CHARTER
INTERNATIONAL CHARTER SCHOOL OF TRENTON,New Jersey,3400041,MERCER COUNTY,NJ ,INTERNATIONAL CHARTER SCH
INTERNATIONAL COMMERCE SECONDARY SCHOOLS  INC.,Arizona,400107,MARICOPA COUNTY,AZ ,INTERNATIONAL COMMERCE SECONDARY SCHOOLS  INC.
INTERNATIONAL FALLS SCHOOL DISTRICT,Minnesota,2715000,KOOCHICHING COUNTY,MN ,INTERNATIONAL FALLS SCHOOL DISTRICT
INTERNATIONAL LEADERSHIP CHARTER SCHOOL,New York,3600163,BRONX COUNTY,NY ,INTERNATIONAL LEADERSHIP CHARTER SCHOOL
INTERNATIONAL SCHOOL AT MESA DEL SOL,New Mexico,3500113,BERNALILLO COUNTY,NM ,INTERNATIONAL SCHOOL AT MESA DEL SOL
INTERNATIONAL SCHOOL OF COLUMBUS,Indiana,1800085,BARTHOLOMEW COUNTY,IN ,INTERNATIONAL SCHOOL OF COLUMBUS
INTERNATIONAL SCHOOL OF LOUISIANA,Louisiana,2200033,ORLEANS PARISH,LA ,INTERNATIONAL SCHOOL OF LOUISIANA
INTERNATIONAL SPANISH LANGUAGE ACAD,Minnesota,2700296,HENNEPIN COUNTY,MN ,INTERNATIONAL SPANISH LANGUAGE ACAD
INTERSTATE 35 COMM SCHOOL DISTRICT,Iowa,1914670,MADISON COUNTY,IA ,INTERSTATE 35 COMM SCHOOL DISTRICT
INTRDIST SCH FOR ARTS AND COM,Connecticut,900011,NEW LONDON COUNTY,CT ,INTRDIST SCH FOR ARTS AND COM
INVER GROVE HEIGHTS SCHOOLS,Minnesota,2715030,DAKOTA COUNTY,MN ,INVER GROVE HEIGHTS SCHOOLS
INVICTUS HIGH SCHOOL,Ohio,3900052,CUYAHOGA COUNTY,OH ,LIFE SKILLS CTR OF CLEVELAND
INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL,New York,3601024,NEW YORK COUNTY,NY ,INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL
INYO COUNTY OFFICE OF EDUCATION,California,691011,INYO COUNTY,CA ,INYO COUNTY OFFICE OF EDUCATION
INYO COUNTY ROP,California,600102,INYO COUNTY,CA ,INYO COUNTY ROP
IOLA,Kansas,2007740,ALLEN COUNTY,KS ,IOLA
IOLA ISD,Texas,4824240,GRIMES COUNTY,TX ,IOLA ISD
IOLA-SCANDINAVIA SCHOOL DISTRICT,Wisconsin,5506840,WAUPACA COUNTY,WI ,IOLA-SCANDINAVIA SCHOOL DISTRICT
IONE SD R2,Oregon,4100047,MORROW COUNTY,OR ,IONE SD R2
IONIA ISD,Michigan,2680540,IONIA COUNTY,MI ,IONIA ISD
IONIA PUBLIC SCHOOLS,Michigan,2619250,IONIA COUNTY,MI ,IONIA PUBLIC SCHOOLS
IONIA TOWNSHIP S/D #2,Michigan,2619290,IONIA COUNTY,MI ,IONIA TOWNSHIP S/D #2
IOSCO RESA,Michigan,2680560,IOSCO COUNTY,MI ,IOSCO RESA
IOWA CITY COMM SCHOOL DISTRICT,Iowa,1914700,JOHNSON COUNTY,IA ,IOWA CITY COMM SCHOOL DISTRICT
IOWA FALLS COMM SCHOOL DISTRICT,Iowa,1914730,HARDIN COUNTY,IA ,IOWA FALLS COMM SCHOOL DISTRICT
IOWA PARK CISD,Texas,4824260,WICHITA COUNTY,TX ,IOWA PARK CISD
IOWA VALLEY COMM SCHOOL DISTRICT,Iowa,1914850,IOWA COUNTY,IA ,IOWA VALLEY COMM SCHOOL DISTRICT
IOWA-GRANT SCHOOL DISTRICT,Wisconsin,5506870,IOWA COUNTY,WI ,IOWA-GRANT SCHOOL DISTRICT
IPSWICH,Massachusetts,2506480,ESSEX COUNTY,MA ,IPSWICH
IPSWICH PUBLIC SCHOOL DISTRICT 22-6,South Dakota,4636060,EDMUNDS COUNTY,SD ,IPSWICH PUBLIC SCHOOL DISTRICT 22-6
IRA H. HAYES MEMORIAL APPLIED LEARNING CENTER  INC.,Arizona,400312,PINAL COUNTY,AZ ,IRA H. HAYES MEMORIAL APPLIED LEARNING CENTER  INC.
IRA ISD,Texas,4824300,SCURRY COUNTY,TX ,IRA ISD
IRA SCHOOL DISTRICT,Vermont,5004830,RUTLAND COUNTY,VT ,IRA SCHOOL DISTRICT
IRAAN-SHEFFIELD ISD,Texas,4824330,PECOS COUNTY,TX ,IRAAN-SHEFFIELD ISD
IRASBURG SCHOOL DISTRICT,Vermont,5004860,ORLEANS COUNTY,VT ,IRASBURG SCHOOL DISTRICT
IREDELL ISD,Texas,4824360,BOSQUE COUNTY,TX ,IREDELL ISD
IREDELL-STATESVILLE SCHOOLS,North Carolina,3702310,IREDELL COUNTY,NC ,IREDELL-STATESVILLE SCHOOLS
IRENE - WAKONDA SCHOOL DISTRICT 13-3,South Dakota,4680439,TURNER COUNTY,SD ,IRENE - WAKONDA SCHOOL DISTRICT 13-3
IRION COUNTY ISD,Texas,4830360,IRION COUNTY,TX ,IRION COUNTY ISD
IRON CO. C-4,Missouri,2915510,IRON COUNTY,MO ,IRON CO. C-4
IRON DISTRICT,Utah,4900390,IRON COUNTY,UT ,IRON DISTRICT
IRON MOUNTAIN PUBLIC SCHOOLS,Michigan,2619410,DICKINSON COUNTY,MI ,IRON MOUNTAIN PUBLIC SCHOOLS
IRONTON CITY,Ohio,3904414,LAWRENCE COUNTY,OH ,IRONTON CITY
IRONWOOD AREA SCHOOLS OF GOGEBIC COUNTY,Michigan,2619470,GOGEBIC COUNTY,MI ,IRONWOOD AREA SCHOOLS
IROQUOIS AREA REG DEL SYSTEM,Illinois,1700277,IROQUOIS COUNTY,IL ,IROQUOIS AREA REG DEL SYSTEM
IROQUOIS CENTRAL SCHOOL DISTRICT,New York,3615360,ERIE COUNTY,NY ,IROQUOIS CENTRAL SCHOOL DISTRICT
IROQUOIS COUNTY CUSD 9,Illinois,1720170,IROQUOIS COUNTY,IL ,IROQUOIS COUNTY CUSD 9
IROQUOIS SCHOOL DISTRICT 02-3,South Dakota,4636150,KINGSBURY COUNTY,SD ,IROQUOIS SCHOOL DISTRICT 02-3
IROQUOIS SD,Pennsylvania,4212210,ERIE COUNTY,PA ,IROQUOIS SD
IROQUOIS SPECIAL EDUCATION,Illinois,1700051,IROQUOIS COUNTY,IL ,IROQUOIS SPECIAL EDUCATION
IROQUOIS WEST CUSD 10,Illinois,1720180,IROQUOIS COUNTY,IL ,IROQUOIS WEST CUSD 10
IROQUOIS/KANKAKEE ROE,Illinois,1700189,KANKAKEE COUNTY,IL ,IROQUOIS/KANKAKEE ROE
IRVINE UNF,California,684500,ORANGE COUNTY,CA ,IRVINE UNIFIED
IRVING ISD,Texas,4824420,DALLAS COUNTY,TX ,IRVING ISD
IRVINGTON BOARD OF EDUCATION,New Jersey,3407680,ESSEX COUNTY,NJ ,IRVINGTON TOWNSHIP
IRVINGTON CCSD 11,Illinois,1720190,WASHINGTON COUNTY,IL ,IRVINGTON CCSD 11
IRVINGTON COMMUNITY SCHOOL,Indiana,1800014,MARION COUNTY,IN ,IRVINGTON COMMUNITY SCHOOL
IRVINGTON UNION FREE SCHOOL DISTRICT,New York,3615450,WESTCHESTER COUNTY,NY ,IRVINGTON UNION FREE SCHOOL DISTRICT
IRWIN COUNTY,Georgia,1302910,IRWIN COUNTY,GA ,IRWIN COUNTY
ISAAC ELEMENTARY DISTRICT,Arizona,403960,MARICOPA COUNTY,AZ ,ISAAC ELEMENTARY DISTRICT
ISHPEMING PUBLIC SCHOOL DISTRICT NO. 1,Michigan,2619530,MARQUETTE COUNTY,MI ,ISHPEMING PUBLIC SCHOOL DISTRICT
ISLAND CITY ACADEMY,Michigan,2600073,EATON COUNTY,MI ,ISLAND CITY ACADEMY
ISLAND HEIGHTS BOARD OF EDUCATION,New Jersey,3407710,OCEAN COUNTY,NJ ,ISLAND HEIGHTS
ISLAND PARK UNION FREE SCHOOL DISTRICT,New York,3615480,NASSAU COUNTY,NY ,ISLAND PARK UNION FREE SCHOOL DISTRICT
ISLAND TREES UNION FREE SCHOOL DISTRICT,New York,3615510,NASSAU COUNTY,NY ,ISLAND TREES UNION FREE SCHOOL DISTRICT
ISLAND UNION ELEM,California,618510,KINGS COUNTY,CA ,ISLAND UNION ELEMENTARY
ISLE AU HAUT SCHOOL DEPARTMENT,Maine,2306780,HANCOCK COUNTY,ME ,ISLE AU HAUT SCHOOL DEPARTMENT
ISLE LA MOTTE SCHOOL DISTRICT,Vermont,5004890,GRAND ISLE COUNTY,VT ,ISLE LA MOTTE SCHOOL DISTRICT
ISLE OF WIGHT CO PBLC SCHS,Virginia,5102010,ISLE OF WIGHT COUNTY,VA ,ISLE OF WIGHT CO PBLC SCHS
ISLE PUBLIC SCHOOL DISTRICT,Minnesota,2715510,MILLE LACS COUNTY,MN ,ISLE PUBLIC SCHOOL DISTRICT
ISLESBORO SCHOOL DEPARTMENT,Maine,2306810,WALDO COUNTY,ME ,ISLESBORO SCHOOL DEPARTMENT
ISLIP UNION FREE SCHOOL DISTRICT,New York,3615540,SUFFOLK COUNTY,NY ,ISLIP UNION FREE SCHOOL DISTRICT
ISSAQUAH SCHOOL DISTRICT,Washington,5303750,KING COUNTY,WA ,ISSAQUAH SCHOOL DISTRICT
ISU  LABORATORY SCHOOLS,Illinois,1700099,MCLEAN COUNTY,IL ,ISU  LABORATORY SCHOOLS
ISUCCEED VIRTUAL HIGH SCHOOL,Idaho,1600144,ADA COUNTY,ID ,ISUCCEED VIRTUAL HIGH SCHOOL
ITALY ISD,Texas,4824450,ELLIS COUNTY,TX ,ITALY ISD
ITASCA AREA SCHOOLS COLLABORATIVE,Minnesota,2700196,ITASCA COUNTY,MN ,ITASCA AREA SCHOOLS COLLABORATIVE
ITASCA ISD,Texas,4824480,HILL COUNTY,TX ,ITASCA ISD
ITASCA SD 10,Illinois,1720220,DUPAGE COUNTY,IL ,ITASCA SD 10
ITAWAMBA COUNTY SCHOOL DIST,Mississippi,2802100,ITAWAMBA COUNTY,MS ,ITAWAMBA CO SCHOOL DIST
ITHACA CITY SCHOOL DISTRICT,New York,3615570,TOMPKINS COUNTY,NY ,ITHACA CITY SCHOOL DISTRICT
ITHACA PUBLIC SCHOOLS,Michigan,2619580,GRATIOT COUNTY,MI ,ITHACA PUBLIC SCHOOLS
ITHACA SCHOOL DISTRICT,Wisconsin,5506960,RICHLAND COUNTY,WI ,ITHACA SCHOOL DISTRICT
ITINERIS EARLY COLLEGE HIGH,Utah,4900067,SALT LAKE COUNTY,UT ,ITINERIS EARLY COLLEGE HIGH
IUKA CCSD 7,Illinois,1720250,MARION COUNTY,IL ,IUKA CCSD 7
IVANHOE PUBLIC SCHOOL DISTRICT,Minnesota,2715540,LINCOLN COUNTY,MN ,IVANHOE PUBLIC SCHOOL DISTRICT
IZARD CO. CONS. SCHOOL DIST.,Arkansas,500021,IZARD COUNTY,AR ,IZARD CO. CONS. SCHOOL DIST.
J O COMBS UNIFIED SCHOOL DISTRICT,Arizona,403990,PINAL COUNTY,AZ ,J O COMBS UNIFIED SCHOOL DISTRICT
J PAUL TAYLOR ACADEMY,New Mexico,3500141,DOнпA ANA COUNTY,NM ,J PAUL TAYLOR ACADEMY
J S MORTON HSD 201,Illinois,1726880,COOK COUNTY,IL ,J S MORTON HSD 201
JAC-CEN-DEL COMMUNITY SCH CORP,Indiana,1804800,RIPLEY COUNTY,IN ,JAC-CEN-DEL COMMUNITY SCH CORP
JACKSBORO ISD,Texas,4824530,JACK COUNTY,TX ,JACKSBORO ISD
JACKSON,Florida,1200960,JACKSON COUNTY,FL ,JACKSON
JACKSON ARTS AND TECHNOLOGY PSA,Michigan,2600282,JACKSON COUNTY,MI ,JACKSON ARTS AND TECHNOLOGY PSA
JACKSON CENTER LOCAL,Ohio,3910005,SHELBY COUNTY,OH ,JACKSON CENTER LOCAL
JACKSON CITY,Ohio,3904415,JACKSON COUNTY,OH ,JACKSON CITY
JACKSON CO SCHOOL DIST,Mississippi,2802160,JACKSON COUNTY,MS ,JACKSON CO SCHOOL DIST
JACKSON CO. SCHOOL DISTRICT,Arkansas,513230,JACKSON COUNTY,AR ,JACKSON CO. SCHOOL DISTRICT
JACKSON COUNTY,Alabama,101830,JACKSON COUNTY,AL ,JACKSON COUNTY
JACKSON COUNTY,Georgia,1302940,JACKSON COUNTY,GA ,JACKSON COUNTY
JACKSON COUNTY,Kentucky,2102940,JACKSON COUNTY,KY ,JACKSON COUNTY
JACKSON COUNTY,Tennessee,4702070,JACKSON COUNTY,TN ,JACKSON COUNTY
JACKSON COUNTY CENTRAL SCHOOL DIST.,Minnesota,2700231,JACKSON COUNTY,MN ,JACKSON COUNTY CENTRAL SCHOOL DIST.
JACKSON COUNTY SCHOOLS,North Carolina,3702340,JACKSON COUNTY,NC ,JACKSON COUNTY SCHOOLS
JACKSON COUNTY SCHOOLS,West Virginia,5400540,JACKSON COUNTY,WV ,JACKSON COUNTY SCHOOLS
JACKSON ELEM,Montana,3015060,BEAVERHEAD COUNTY,MT ,JACKSON ELEM
JACKSON INDEPENDENT,Kentucky,2102910,BREATHITT COUNTY,KY ,JACKSON INDEPENDENT
JACKSON ISD,Michigan,2680580,JACKSON COUNTY,MI ,JACKSON ISD
JACKSON LOCAL,Ohio,3904985,STARK COUNTY,OH ,JACKSON LOCAL
JACKSON PARISH,Louisiana,2200780,JACKSON PARISH,LA ,JACKSON PARISH
JACKSON PUBLIC SCHOOL DISTRICT,Mississippi,2802190,HINDS COUNTY,MS ,JACKSON PUBLIC SCHOOL DIST
JACKSON PUBLIC SCHOOLS,Michigan,2619620,JACKSON COUNTY,MI ,JACKSON PUBLIC SCHOOLS
JACKSON R-II,Missouri,2915600,CAPE GIRARDEAU COUNTY,MO ,JACKSON R-II
JACKSON RIVER GOVERNOR'S SCHOOL,Virginia,5100063,ALLEGHANY COUNTY,VA ,JACKSON RIVER GOVERNOR'S SCHOOL
JACKSON RIVER TECH CTR,Virginia,5100004,ALLEGHANY COUNTY,VA ,JACKSON RIVER TECH CTR
JACKSON SCHOOL DISTRICT,New Hampshire,3303990,CARROLL COUNTY,NH ,JACKSON SCHOOL DISTRICT
JACKSON TOWNSHIP SCHOOL DISTRICT,New Jersey,3407740,OCEAN COUNTY,NJ ,JACKSON TOWNSHIP
JACKSON-MILTON LOCAL,Ohio,3904832,MAHONING COUNTY,OH ,JACKSON-MILTON LOCAL
JACKSON/PERRY CO REG DEL SYSTEM,Illinois,1700274,PERRY COUNTY,IL ,JACKSON/PERRY CO REG DEL SYSTEM
JACKSON/PERRY ROE,Illinois,1700190,JACKSON COUNTY,IL ,JACKSON/PERRY ROE
JACKSONVILLE CITY,Alabama,101860,CALHOUN COUNTY,AL ,JACKSONVILLE CITY
JACKSONVILLE ISD,Texas,4824590,CHEROKEE COUNTY,TX ,JACKSONVILLE ISD
JACKSONVILLE LIGHTHOUSE CHARTER,Arkansas,500402,PULASKI COUNTY,AR ,JACKSONVILLE LIGHTHOUSE CHARTER
JACKSONVILLE SD 117,Illinois,1720280,MORGAN COUNTY,IL ,JACKSONVILLE SD 117
JACOBY CREEK ELEM,California,618660,HUMBOLDT COUNTY,CA ,JACOBY CREEK ELEMENTARY
JAFFREY-RINDGE COOP SCHOOL DISTRICT,New Hampshire,3304030,CHESHIRE COUNTY,NH ,JAFFREY-RINDGE COOP SCHOOL DISTRICT
JAFFREY-RINDGE SAU OFFICE,New Hampshire,3300012,CHESHIRE COUNTY,NH ,JAFFREY-RINDGE SAU OFFICE
JAL PUBLIC SCHOOLS,New Mexico,3501350,LEA COUNTY,NM ,JAL PUBLIC SCHOOLS
JAMAICA CUSD 12,Illinois,1720350,VERMILION COUNTY,IL ,JAMAICA CUSD 12
JAMAICA SCHOOL DISTRICT,Vermont,5004920,WINDHAM COUNTY,VT ,JAMAICA SCHOOL DISTRICT
JAMES A GARFIELD LOCAL,Ohio,3904920,PORTAGE COUNTY,OH ,JAMES A GARFIELD LOCAL
JAMES CITY COUNTY,Virginia,5100036,JAMES CITY COUNTY,VA ,JAMES CITY COUNTY
JAMES MADISON PREPARATORY SCHOOL,Arizona,400231,MARICOPA COUNTY,AZ ,JAMES MADISON PREPARATORY SCHOOL
JAMES RIVER SPECIAL ED COOPERATIVE,North Dakota,3800396,STUTSMAN COUNTY,ND ,JAMES RIVER SPECIAL ED COOPERATIVE
JAMES SANDOVAL PREPARATORY HIGH SCHOOL,Arizona,400332,MARICOPA COUNTY,AZ ,JAMES SANDOVAL PREPARATORY HIGH SCHOOL
JAMES VALLEY AREA CAREER & TECHNICAL CENTER,North Dakota,3880680,STUTSMAN COUNTY,ND ,JAMES VALLEY AREA CAREER & TECHNICAL CENTER
JAMES VALLEY EDUCATION COOPERATIVE,South Dakota,4600039,DAVISON COUNTY,SD ,JAMES VALLEY EDUCATION COOPERATIVE
JAMESBURG PUBLIC SCHOOLS,New Jersey,3407770,MIDDLESEX COUNTY,NJ ,JAMESBURG
JAMESTOWN,Rhode Island,4400510,NEWPORT COUNTY,RI ,JAMESTOWN
JAMESTOWN 1,North Dakota,3800021,STUTSMAN COUNTY,ND ,JAMESTOWN 1
JAMESTOWN AREA SD,Pennsylvania,4212300,MERCER COUNTY,PA ,JAMESTOWN AREA SD
JAMESTOWN C-1,Missouri,2915660,MONITEAU COUNTY,MO ,JAMESTOWN C-1
JAMESTOWN CITY SCHOOL DISTRICT,New York,3615630,CHAUTAUQUA COUNTY,NY ,JAMESTOWN CITY SCHOOL DISTRICT
JAMESTOWN ELEM,California,618690,TUOLUMNE COUNTY,CA ,JAMESTOWN ELEMENTARY
JAMESTOWN SPECIAL ED UNIT,North Dakota,3800394,STUTSMAN COUNTY,ND ,JAMESTOWN SPECIAL ED UNIT
JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,New York,3609090,ONONDAGA COUNTY,NY ,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT
JAMIE'S HOUSE CHARTER SCHOOL,Texas,4800116,HARRIS COUNTY,TX ,JAMIE'S HOUSE CHARTER SCHOOL
JAMP SPEC EDUC SERVICES,Illinois,1700329,PULASKI COUNTY,IL ,JAMP SPEC EDUC SERVICES
JAMUL-DULZURA UNION ELEM,California,618730,SAN DIEGO COUNTY,CA ,JAMUL-DULZURA UNION ELEMENTARY
JANESVILLE CONSOLIDATED SCHOOL DISTRICT,Iowa,1915180,BREMER COUNTY,IA ,JANESVILLE CONSOLIDATED SCHOOL DISTRICT
JANESVILLE SCHOOL DISTRICT,Wisconsin,5507020,ROCK COUNTY,WI ,JANESVILLE SCHOOL DISTRICT
JANESVILLE UNION ELEM,California,618780,LASSEN COUNTY,CA ,JANESVILLE UNION ELEMENTARY
JANESVILLE-WALDORF-PEMBERTON,Minnesota,2791451,WASECA COUNTY,MN ,JANESVILLE-WALDORF-PEMBERTON
JAPANESE AMERICAN SCHOOL OF SOUTH EAST MICHIGAN,Michigan,2600978,WAYNE COUNTY,MI ,JAPANESE AMERICAN SCHOOL OF SOUTH EAST MICHIGAN
JARRELL ISD,Texas,4824600,WILLIAMSON COUNTY,TX ,JARRELL ISD
JASPER 01,South Carolina,4502520,JASPER COUNTY,SC ,JASPER 01
JASPER CCSD 17,Illinois,1720370,WAYNE COUNTY,IL ,JASPER CCSD 17
JASPER CITY,Alabama,101890,WALKER COUNTY,AL ,JASPER CITY
JASPER CO. R-V,Missouri,2916140,JASPER COUNTY,MO ,JASPER CO. R-V
JASPER COUNTY,Georgia,1302970,JASPER COUNTY,GA ,JASPER COUNTY
JASPER COUNTY CUD 1,Illinois,1720380,JASPER COUNTY,IL ,JASPER COUNTY CUD 1
JASPER ISD,Texas,4824630,JASPER COUNTY,TX ,JASPER ISD
JASPER SCHOOL DISTRICT,Arkansas,508240,NEWTON COUNTY,AR ,JASPER SCHOOL DISTRICT
JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,New York,3600007,STEUBEN COUNTY,NY ,JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT
JAY,Oklahoma,4015690,DELAWARE COUNTY,OK ,JAY
JAY SCHOOL CORP,Indiana,1804980,JAY COUNTY,IN ,JAY SCHOOL CORP
JAY SCHOOL DEPARTMENT,Maine,2306840,FRANKLIN COUNTY,ME ,JAY SCHOOL DEPARTMENT
JAY SCHOOL DISTRICT,Vermont,5004950,ORLEANS COUNTY,VT ,JAY SCHOOL DISTRICT
JAY/WESTFIELD JOINT ELEMENTARY SCHOOL DISTRICT,Vermont,5004960,ORLEANS COUNTY,VT ,JAY/WESTFIELD JOINT ELEMENTARY
JAYHAWK,Kansas,2007750,LINN COUNTY,KS ,JAYHAWK
JAYTON-GIRARD ISD,Texas,4824660,KENT COUNTY,TX ,JAYTON-GIRARD ISD
JEAN MASSIEU ACADEMY,Texas,4800098,TARRANT COUNTY,TX ,JEAN MASSIEU ACADEMY
JEANNETTE CITY SD,Pennsylvania,4212330,WESTMORELAND COUNTY,PA ,JEANNETTE CITY SD
JEFF DAVIS COUNTY,Georgia,1303000,JEFF DAVIS COUNTY,GA ,JEFF DAVIS COUNTY
JEFFERSON,Florida,1200990,JEFFERSON COUNTY,FL ,JEFFERSON
JEFFERSON,Montana,3000039,JEFFERSON COUNTY,MT ,JEFFERSON
JEFFERSON AREA LOCAL,Ohio,3904587,ASHTABULA COUNTY,OH ,JEFFERSON AREA LOCAL
JEFFERSON C-123,Missouri,2916200,NODAWAY COUNTY,MO ,JEFFERSON C-123
JEFFERSON CENTRAL SCHOOL DISTRICT,New York,3615720,SCHOHARIE COUNTY,NY ,JEFFERSON CENTRAL SCHOOL DISTRICT
JEFFERSON CITY,Missouri,2916190,COLE COUNTY,MO ,JEFFERSON CITY
JEFFERSON CITY,Georgia,1303030,JACKSON COUNTY,GA ,JEFFERSON CITY
JEFFERSON CO EXCEPTIONAL CHILD EDUCATION SERVICES,Kentucky,2100103,JEFFERSON COUNTY,KY ,JEFFERSON CO EXCEPTIONAL CHILD EDUCATION SERVICES
JEFFERSON CO SCHOOL DIST,Mississippi,2802220,JEFFERSON COUNTY,MS ,JEFFERSON CO SCHOOL DIST
JEFFERSON CO. R-VII,Missouri,2916230,JEFFERSON COUNTY,MO ,JEFFERSON CO. R-VII
JEFFERSON COLLEGE,Missouri,2900006,JEFFERSON COUNTY,MO ,JEFFERSON COLLEGE
JEFFERSON COUNTY,Kentucky,2102990,JEFFERSON COUNTY,KY ,JEFFERSON COUNTY
JEFFERSON COUNTY,Georgia,1303060,JEFFERSON COUNTY,GA ,JEFFERSON COUNTY
JEFFERSON COUNTY,Alabama,101920,JEFFERSON COUNTY,AL ,JEFFERSON COUNTY
JEFFERSON COUNTY,Ohio,3905112,JEFFERSON COUNTY,OH ,JEFFERSON COUNTY
JEFFERSON COUNTY,Tennessee,4702100,JEFFERSON COUNTY,TN ,JEFFERSON COUNTY
JEFFERSON COUNTY ESC,Ohio,3904777,JEFFERSON COUNTY,OH ,JEFFERSON COUNTY ESC
JEFFERSON COUNTY JT DISTRICT,Idaho,1601570,JEFFERSON COUNTY,ID ,JEFFERSON COUNTY JT DISTRICT
JEFFERSON COUNTY NORTH,Kansas,2013020,JEFFERSON COUNTY,KS ,JEFFERSON COUNTY NORTH
JEFFERSON COUNTY SCHOOL DISTRICT NO. R-1,Colorado,804800,JEFFERSON COUNTY,CO ,JEFFERSON COUNTY SCHOOL DISTRICT NO. R-1
JEFFERSON COUNTY SCHOOLS,West Virginia,5400570,JEFFERSON COUNTY,WV ,JEFFERSON COUNTY SCHOOLS
JEFFERSON COUNTY SD 509J,Oregon,4106740,JEFFERSON COUNTY,OR ,JEFFERSON COUNTY SD 509J
JEFFERSON COUNTY-DUBOIS AVTS,Pennsylvania,4212335,JEFFERSON COUNTY,PA ,JEFFERSON COUNTY-DUBOIS AVTS
JEFFERSON DAVIS CO SCHOOL DIST,Mississippi,2802250,JEFFERSON DAVIS COUNTY,MS ,JEFFERSON DAVIS CO SCHOOL DIST
JEFFERSON DAVIS PARISH,Louisiana,2200810,JEFFERSON DAVIS PARISH,LA ,JEFFERSON DAVIS PARISH
JEFFERSON ELEM,California,618840,SAN JOAQUIN COUNTY,CA ,JEFFERSON ELEMENTARY
JEFFERSON ELEM,California,618810,SAN BENITO COUNTY,CA ,JEFFERSON ELEMENTARY
JEFFERSON ELEM,California,618870,SAN MATEO COUNTY,CA ,JEFFERSON ELEMENTARY
JEFFERSON ESD,Oregon,4100030,JEFFERSON COUNTY,OR ,JEFFERSON ESD
JEFFERSON H S,Montana,3015120,JEFFERSON COUNTY,MT ,JEFFERSON H S
JEFFERSON ISD,Texas,4824730,MARION COUNTY,TX ,JEFFERSON ISD
JEFFERSON LOCAL,Ohio,3904825,MADISON COUNTY,OH ,JEFFERSON LOCAL
JEFFERSON PARISH,Louisiana,2200840,JEFFERSON PARISH,LA ,JEFFERSON PARISH
JEFFERSON R-1,Colorado,800222,JEFFERSON COUNTY,CO ,JEFFERSON R-1
JEFFERSON SCHOOL DEPARTMENT,Maine,2306870,LINCOLN COUNTY,ME ,JEFFERSON SCHOOL DEPARTMENT
JEFFERSON SCHOOL DISTRICT,Wisconsin,5507050,JEFFERSON COUNTY,WI ,JEFFERSON SCHOOL DISTRICT
JEFFERSON SCHOOLS (MONROE),Michigan,2619800,MONROE COUNTY,MI ,JEFFERSON SCHOOLS (MONROE)
JEFFERSON SD 14J,Oregon,4106710,MARION COUNTY,OR ,JEFFERSON SD 14J
JEFFERSON TOWNSHIP,New Jersey,3407800,MORRIS COUNTY,NJ ,JEFFERSON TOWNSHIP
JEFFERSON TOWNSHIP LOCAL,Ohio,3904868,MONTGOMERY COUNTY,OH ,JEFFERSON TOWNSHIP LOCAL
JEFFERSON UNION HIGH,California,618930,SAN MATEO COUNTY,CA ,JEFFERSON UNION HIGH
JEFFERSON WEST,Kansas,2009510,JEFFERSON COUNTY,KS ,JEFFERSON WEST
JEFFERSON-LEWIS-HAMILTON-HERKIMER-ONEIDA BOCES,New York,3680440,JEFFERSON COUNTY,NY ,JEFFERSON-LEWIS-HAMILTON-HERKIMER-ONEIDA BOCES
JEFFERSON-MORGAN SD,Pennsylvania,4212390,GREENE COUNTY,PA ,JEFFERSON-MORGAN SD
JEFFERSON-SCRANTON COMM SCHOOL DISTRICT,Iowa,1915210,GREENE COUNTY,IA ,JEFFERSON-SCRANTON COMM SCHOOL DISTRICT
JEMEZ MOUNTAIN PUBLIC SCHOOLS,New Mexico,3501380,RIO ARRIBA COUNTY,NM ,JEMEZ MOUNTAIN PUBLIC SCHOOLS
JEMEZ VALLEY PUBLIC SCHOOLS,New Mexico,3501410,SANDOVAL COUNTY,NM ,JEMEZ VALLEY PUBLIC SCHOOLS
JENISON PUBLIC SCHOOLS,Michigan,2619830,OTTAWA COUNTY,MI ,JENISON PUBLIC SCHOOLS
JENKINS COUNTY,Georgia,1303090,JENKINS COUNTY,GA ,JENKINS COUNTY
JENKINS INDEPENDENT,Kentucky,2103000,LETCHER COUNTY,KY ,JENKINS INDEPENDENT
JENKINTOWN SD,Pennsylvania,4212420,MONTGOMERY COUNTY,PA ,JENKINTOWN SD
